trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
217,False,"{'a': 0.6, 'e': 0.11532512103806251}",20,0,31.58814294137293,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
218,False,"{'a': 0.6, 'e': 0.1141776169108365}",25,7,5.973646425630381,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
219,False,"{'a': 0.6, 'e': 0.11304153064044985}",20,16,7.596413425267746,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.6, 'e': 0.11191674861732888}",20,9,-15.69026585811475,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
221,False,"{'a': 0.6, 'e': 0.11080315836233387}",20,10,19.71382288318833,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.6, 'e': 0.10970064851551141}",25,0,31.032145414306896,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
223,False,"{'a': 0.6, 'e': 0.10860910882495796}",25,18,5.007894078722467,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.6, 'e': 0.10752843013579495}",20,2,14.558522674690504,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
225,False,"{'a': 0.6, 'e': 0.1064585043792528}",20,12,15.66273581522955,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.6, 'e': 0.10539922456186433}",20,9,17.08390282876066,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.6, 'e': 0.104350484754765}",20,8,-37.69407765428004,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
228,False,"{'a': 0.6, 'e': 0.1033121800831002}",25,13,6.6520431167330925,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
229,False,"{'a': 0.6, 'e': 0.10228420671553744}",30,24,9.885685377690889,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.6, 'e': 0.1012664618538834}",25,11,25.593913350326787,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.6, 'e': 0.1002588437228037}",20,12,16.390575123523938,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.6, 'e': 0.09926125155964566}",35,17,36.606132464558776,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.6, 'e': 0.09827358560436154}",20,14,7.940082999009888,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.6, 'e': 0.09729574708953276}",20,7,12.598478583300416,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
235,False,"{'a': 0.6, 'e': 0.09632763823049303}",20,12,14.128094916503409,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.6, 'e': 0.09536916221554961}",20,2,26.783865527789075,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.6, 'e': 0.09442022319630235}",20,14,10.065551451384643,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.6, 'e': 0.09348072627805847}",30,12,-0.8265815468562003,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
239,False,"{'a': 0.6, 'e': 0.09255057751034329}",20,8,17.746234778266736,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.6, 'e': 0.09162968387750484}",20,6,-16.75188726424755,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
241,False,"{'a': 0.6, 'e': 0.09071795328941251}",25,1,25.355463915150192,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
242,False,"{'a': 0.6, 'e': 0.08981529457224763}",20,12,15.436922002911833,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.6, 'e': 0.08892161745938634}",20,9,-3.62431067902386,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
244,False,"{'a': 0.6, 'e': 0.08803683258237255}",20,10,18.54520847245518,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.6, 'e': 0.0871608514619813}",20,7,8.751430227253646,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
246,False,"{'a': 0.6, 'e': 0.0862935864993705}",30,17,4.214563018051681,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
247,False,"{'a': 0.6, 'e': 0.08543495096732123}",20,11,-25.321003405863426,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
